Review,Sentiment
" i just bought my  reno a few days ago, and so far im very impressed with its performance and ride quality. mpg arent too bad, but they could be a little better. for about - dollars you could expect to ride for a pretty good bit on a full tank. thats pretty good compared to a much bigger vehicle. my roommate has a minivan, and that take anywhere from thirty to forty dollars to fill up, and gas doesnt last half as long as it does in mine. im , and this is my very first vehicle, and so far im very happy, and well satisfied with my purchase.",good
" i bought this  reno with , miles on it. its my ride from home to work and back. this is the first small car that i have ever owned. i traded in my  lumina (k miles)and $ cash and drove it off the lot. so many of the reviews have been less than complimentary, but as an owner, i think this is a great little car.  year/k mile bumper to bumper, a k powertrain warranty, and  hour roadside assistance. i dont like the fact there arent many dealerships around for service concerns, but i have only had one issue with the airbag light staying on all the time. remember that you get what you pay for. i bought a -cylinder automatic. i dont expect to keep up with a vette!",good
" we bought this car with a sonata in mind but the price point was to much to pass up.  its peppy and quick for such a small engine. plan to put on wheels, cruise, tint and keyless with an alarm.  love it get lots of second looks in the parking lots.  put on a coat of turtle wax ice and it looks great. only problem was pass seat airbag light but was resolved in one visit. k out the door cash and we are really happy with it! lots of room for a small car and with some things like new wheels and tires maybe springs it will handle even better. also try a k&n airfilter it will bump up the hp and gas mileage! had a suzuki motorcycle and this lives up to the name!",good
 i drive  miles a day and i get from  miles to  miles on a full tank of gas so the mileage is alright. needs cruise but hey its a good price on a car that get me to were i gotta go ,good
 i just purchased this vehicle but thought it odd there were no reviews from users on this vehicle (expert reviews are unkind). it truly is a bargain and drove every bit as well as a ford focus. yes it is basic but for $ a month for  months and  down how can you go wrong especially with the warranty this manufacturer offers. we all are facing some realities with gas prices escalating and while the given mileage specs arent overly impressive most people are getting better than posted mileage. the interior is very nice a pleasent surprise this is the first time i have considered a compact car and i will be ok with this. i didnt feel silly in it and the suzuki moniker adds intrigue,good
" good car for the price with a good warranty. comfortable, good looking. lots of base price features. its zippy, quiet, and rides well. ",good
 i would’ve given it all  star but i’m an honest man.... headlights are garbage they just love to short out.....  transmission is garbage no dipstick maintenance free and the mechanics can’t give me a transmission flush because it takes a special square tool to get the access port  that they didn’t have and autozone and advanced auto didn’t sell it either online it was  dollars. transmission skips like crazy and is a safety hazard.... visibility is poor out the front but horrible in the back.... listen this car is garbage the bad out weighs the good,bad
" i got an  reno in october of . it had k miles. i was surprised to find that this vehicle did not have cruise control, as many older vehicles (different make) do. the mpgs are not very good, even when using high octane fuel and keeping maintenance regular (correct air pressure in tires, clean air filter, oil changes ever k miles). ive already had to replace the head gasket in the engine. come to find out there was an air bag/warranty issue for renos, that effect/affect mine, according to the vin. not sure if it was the best choice, but i needed a car. its still good, just think that an  vehicle, regardless of who its from, should have cruise control. according to good ol google,  renos get  city and  highway.",bad
" bought this car and an emergency car in january  after i totaled my last car. car was great for  months when the check engine came on. turns out it was the throttle body,  which was no longer made. dealt with it for another year and few months before everything started going wrong. lower control arms needed replaced, quickly followed by having to replace the entire shifter assembly.  both front and rear struts need replaced, including the mounting and stabilizers. rack and pinions are starting to leak, has to replace a oil gasket, and now the throttle position sensor is shot. only a dealer can calibrate a new one, and you have to replace the whole throttle body, not just the sensor. only  miles on this car, it shouldnt have all these issues!",bad
" ive been reading reviews and not one was good. my reno will fly, i read one that said it had trouble keeping up in traffic. to be a . this car is fast, i believe very dependable. ive had no trouble,its a little rough on gas. but alot better than my  cylinder.",good
